indicator_id,country_id,year,value,magnitude,qualifier
PREPFUTURE.1.MATH.GPIA,HRV,2011,0.8993493914604187,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HRV,2015,0.9220526218414308,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HRV,2019,0.9278026819229126,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HUN,1995,0.9868757724761964,NA,NA
PREPFUTURE.1.MATH.GPIA,HUN,2003,1.004773497581482,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HUN,2007,0.9735825061798096,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HUN,2011,1.006204605102539,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HUN,2015,0.9896667003631592,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,HUN,2019,0.9496139287948608,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IDN,2015,1.051470279693604,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,1995,0.6911848187446594,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,2003,1.036095499992371,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,2007,1.09320604801178,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,2011,0.9484145641326904,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,2015,1.035688281059265,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,IRN,2019,0.9017014503479004,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ISL,1995,0.9962210059165956,NA,NA
PREPFUTURE.1.MATH.GPIA,ISR,1995,0.9309848546981812,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ITA,2003,0.925732672214508,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ITA,2007,0.8902396559715271,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ITA,2011,0.935390055179596,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ITA,2015,0.8854783773422241,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,ITA,2019,0.936765193939209,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KAZ,2007,1.045692801475525,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KAZ,2011,0.9592598080635072,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KAZ,2015,1.017631649971008,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KAZ,2019,1.010679483413696,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KEN,2019,1.080713152885437,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KEN,2021,1.136930108070374,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KEN,2023,1.160051107406616,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KHM,2019,1.240597724914551,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KOR,1995,0.984917163848877,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KOR,2011,1.001490950584412,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KOR,2015,1.005238771438599,NA,UIS_EST
PREPFUTURE.1.MATH.GPIA,KOR,2019,1.009580254554749,NA,UIS_EST
