"Family","Binomial","Toxicity & Dangerousness"
"Elapidae","Hydrophis major","venomous bite – very dangerous"
"Elapidae","Hydrophis mamillaris","venomous bite – very dangerous"
"Elapidae","Hydrophis melanocephalus","venomous bite – very dangerous"
"Elapidae","Hydrophis melanosoma","venomous bite – very dangerous"
"Elapidae","Hydrophis nigrocinctus","venomous bite – very dangerous"
"Elapidae","Hydrophis obscurus","venomous bite – very dangerous"
"Elapidae","Hydrophis ocellatus","venomous bite – very dangerous"
"Elapidae","Hydrophis ornatus","venomous bite – very dangerous"
"Elapidae","Hydrophis pachycercos","venomous bite – very dangerous"
"Elapidae","Hydrophis pacificus","venomous bite – very dangerous"
"Elapidae","Hydrophis parviceps","venomous bite – very dangerous"
"Elapidae","Hydrophis peronii","venomous bite – very dangerous"
"Elapidae","Hydrophis platurus","venomous bite – very dangerous"
"Elapidae","Hydrophis schistosus","venomous bite – very dangerous"
"Elapidae","Hydrophis semperi","venomous bite – very dangerous"
"Elapidae","Hydrophis sibauensis","venomous bite – very dangerous"
"Elapidae","Hydrophis spiralis","venomous bite – very dangerous"
"Elapidae","Hydrophis stokesii","venomous bite – very dangerous"
"Elapidae","Hydrophis stricticollis","venomous bite – very dangerous"
"Elapidae","Hydrophis torquatus","venomous bite – very dangerous"
"Elapidae","Hydrophis viperinus","venomous bite – very dangerous"
"Elapidae","Hydrophis vorisi","venomous bite – very dangerous"
"Elapidae","Hydrophis zweifeli","venomous bite – very dangerous"
"Colubridae","Hydrops caesurus","unclear toxicity"
"Colubridae","Hydrops martii","unclear toxicity"
"Colubridae","Hydrops triangularis","unclear toxicity"
"Viperidae","Hypnale hypnale","venomous bite – dangerous"
"Viperidae","Hypnale nepa","venomous bite – dangerous"
"Viperidae","Hypnale zara","venomous bite – dangerous"
"Atractaspididae","Hypoptophis wilsonii","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena affinis","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena catalinae","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena chlorophaea","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena jani","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena ochrorhynchus","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena slevini","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena tanzeri","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena torquata","venomous bite – unknown dangerousness"
"Colubridae","Hypsiglena unaocularus","venomous bite – unknown dangerousness"
"Colubridae","Hypsirhynchus ater","unclear toxicity"
"Colubridae","Hypsirhynchus callilaemus","unclear toxicity"
"Colubridae","Hypsirhynchus ferox","unclear toxicity"
"Colubridae","Hypsirhynchus funereus","unclear toxicity"
"Colubridae","Hypsirhynchus melanichnus","unclear toxicity"
"Colubridae","Hypsirhynchus parvifrons","unclear toxicity"
"Colubridae","Hypsirhynchus polylepis","unclear toxicity"
"Colubridae","Hypsirhynchus scalaris","unclear toxicity"
"Homalopsidae","Hypsiscopus indonesiensis",""
"Homalopsidae","Hypsiscopus matannensis","venomous bite – potentially dangerous"
"Homalopsidae","Hypsiscopus murphyi",""
"Homalopsidae","Hypsiscopus plumbea","venomous bite – potentially dangerous"
"Colubridae","Ialtris agyrtes","unclear toxicity"
"Colubridae","Ialtris dorsalis","unclear toxicity"
"Colubridae","Ialtris haetianus","unclear toxicity"
"Colubridae","Ialtris parishi","unclear toxicity"
"Colubridae","Iguanognathus werneri","unclear toxicity"
"Colubridae","Imantodes cenchoa","unclear toxicity"
"Colubridae","Imantodes chocoensis","unclear toxicity"
"Colubridae","Imantodes gemmistratus","unclear toxicity"
"Colubridae","Imantodes guane","unclear toxicity"
"Colubridae","Imantodes inornatus","unclear toxicity"
"Colubridae","Imantodes lentiferus","unclear toxicity"
"Colubridae","Imantodes phantasma","unclear toxicity"
"Colubridae","Imantodes tenuissimus","unclear toxicity"
"Colubridae","Incaspis amaru","venomous bite – dangerous"
"Colubridae","Incaspis simonsii","venomous bite – dangerous"
"Colubridae","Incaspis tachymenoides","venomous bite – dangerous"
"Typhlopidae","Indotyphlops ahsanai","non-venomous"
"Typhlopidae","Indotyphlops albiceps","non-venomous"
"Typhlopidae","Indotyphlops braminus","non-venomous"
"Typhlopidae","Indotyphlops combank",""
"Typhlopidae","Indotyphlops filiformis","non-venomous"
"Typhlopidae","Indotyphlops fletcheri","non-venomous"
"Typhlopidae","Indotyphlops jerdoni","non-venomous"
"Typhlopidae","Indotyphlops laca",""
"Typhlopidae","Indotyphlops lankaensis","non-venomous"
"Typhlopidae","Indotyphlops lazelli","non-venomous"
"Typhlopidae","Indotyphlops leucomelas","non-venomous"
"Typhlopidae","Indotyphlops longissimus","non-venomous"
"Typhlopidae","Indotyphlops loveridgei","non-venomous"
"Typhlopidae","Indotyphlops madgemintonae","non-venomous"
"Typhlopidae","Indotyphlops malcolmi","non-venomous"
"Typhlopidae","Indotyphlops meszoelyi","non-venomous"
"Typhlopidae","Indotyphlops pammeces","non-venomous"
"Typhlopidae","Indotyphlops schmutzi","non-venomous"
"Typhlopidae","Indotyphlops tenebrarum","non-venomous"
"Typhlopidae","Indotyphlops tenuicollis","non-venomous"
"Typhlopidae","Indotyphlops veddae","non-venomous"
"Typhlopidae","Indotyphlops violaceus","non-venomous"
"Lamprophiidae","Inyoka swazicus","unclear toxicity"
"Colubridae","Isanophis boonsongi","unclear toxicity"
"Pseudoxyrhophiidae","Ithycyphus blanci","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Ithycyphus goudoti","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Ithycyphus miniatus","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Ithycyphus oursi","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Ithycyphus perineti","venomous bite – unknown dangerousness"
"Homalopsidae","Karnsophis siantaris","venomous bite – unknown dangerousness"
"Psammophiidae","Kladirostratus acutus","venomous bite – unknown dangerousness"
"Psammophiidae","Kladirostratus togoensis","venomous bite – unknown dangerousness"
"Homalopsidae","Kualatahan pahangensis","venomous bite – potentially dangerous"
"Viperidae","Lachesis acrochorda","venomous bite – very dangerous"
"Viperidae","Lachesis melanocephala","venomous bite – very dangerous"
"Viperidae","Lachesis muta","venomous bite – very dangerous"
"Viperidae","Lachesis stenophrys","venomous bite – very dangerous"
"Colubridae","Lampropeltis abnorma","unclear toxicity"
"Colubridae","Lampropeltis alterna","unclear toxicity"
"Colubridae","Lampropeltis annulata","unclear toxicity"
"Colubridae","Lampropeltis californiae","unclear toxicity"
"Colubridae","Lampropeltis calligaster","unclear toxicity"
"Colubridae","Lampropeltis catalinensis","unclear toxicity"
"Colubridae","Lampropeltis elapsoides","unclear toxicity"
"Colubridae","Lampropeltis extenuata","unclear toxicity"
"Colubridae","Lampropeltis getula","unclear toxicity"
"Colubridae","Lampropeltis greeri",""
"Colubridae","Lampropeltis holbrooki","unclear toxicity"
"Colubridae","Lampropeltis knoblochi","unclear toxicity"
"Colubridae","Lampropeltis leonis",""
"Colubridae","Lampropeltis mexicana","unclear toxicity"
"Colubridae","Lampropeltis micropholis","unclear toxicity"
"Colubridae","Lampropeltis nigra","unclear toxicity"
"Colubridae","Lampropeltis occipitolineata",""
"Colubridae","Lampropeltis polyzona","unclear toxicity"
"Colubridae","Lampropeltis pyromelana","unclear toxicity"
"Colubridae","Lampropeltis rhombomaculata",""
"Colubridae","Lampropeltis ruthveni","unclear toxicity"
"Colubridae","Lampropeltis splendida","unclear toxicity"
"Colubridae","Lampropeltis triangulum","unclear toxicity"
"Colubridae","Lampropeltis webbi","unclear toxicity"
"Colubridae","Lampropeltis zonata","unclear toxicity"
"Lamprophiidae","Lamprophis aurora","non-venomous"
"Lamprophiidae","Lamprophis fiskii","unclear toxicity"
"Lamprophiidae","Lamprophis fuscus","unclear toxicity"
"Pseudoxyrhophiidae","Langaha alluaudi","unclear toxicity"
"Pseudoxyrhophiidae","Langaha madagascariensis","unclear toxicity"
"Pseudoxyrhophiidae","Langaha pseudoalluaudi","unclear toxicity"
"Elapidae","Laticauda colubrina","venomous bite – very dangerous"
"Elapidae","Laticauda crockeri","venomous bite – very dangerous"
"Elapidae","Laticauda frontalis","venomous bite – very dangerous"
"Elapidae","Laticauda guineai","venomous bite – very dangerous"
"Elapidae","Laticauda laticaudata","venomous bite – very dangerous"
"Elapidae","Laticauda saintgironsi","venomous bite – very dangerous"
"Elapidae","Laticauda schistorhyncha","venomous bite – very dangerous"
"Elapidae","Laticauda semifasciata","venomous bite – very dangerous"
"Pseudoxyrhophiidae","Leioheterodon geayi","unclear toxicity"
"Pseudoxyrhophiidae","Leioheterodon madagascariensis","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Leioheterodon modestus","venomous bite – unknown dangerousness"
"Pythonidae","Leiopython albertisii","non-venomous constrictor – dangerous"
"Pythonidae","Leiopython fredparkeri","non-venomous constrictor – potentially dangerous"
"Colubridae","Leptodeira annulata",""
"Colubridae","Leptodeira approximans",""
"Colubridae","Leptodeira ashmeadii","venomous bite – potentially dangerous"
"Colubridae","Leptodeira bakeri","unclear toxicity"
"Colubridae","Leptodeira frenata","unclear toxicity"
"Colubridae","Leptodeira larcorum",""
"Colubridae","Leptodeira maculata","unclear toxicity"
"Colubridae","Leptodeira misinawui",""
"Colubridae","Leptodeira nigrofasciata","unclear toxicity"
"Colubridae","Leptodeira ornata",""
"Colubridae","Leptodeira pulchriceps",""
"Colubridae","Leptodeira punctata","unclear toxicity"
"Colubridae","Leptodeira rhombifera","unclear toxicity"
"Colubridae","Leptodeira rubricata","unclear toxicity"
"Colubridae","Leptodeira septentrionalis","unclear toxicity"
"Colubridae","Leptodeira splendida","unclear toxicity"
"Colubridae","Leptodeira tarairiu",""
"Colubridae","Leptodeira uribei","unclear toxicity"
"Colubridae","Leptodrymus pulcherrimus","unclear toxicity"
"Colubridae","Leptophis ahaetulla","venomous bite – potentially dangerous"
"Colubridae","Leptophis bocourti",""
"Colubridae","Leptophis bolivianus",""
"Colubridae","Leptophis coeruleodorsus","unclear toxicity"
"Colubridae","Leptophis cupreus","unclear toxicity"
"Colubridae","Leptophis depressirostris","unclear toxicity"
"Colubridae","Leptophis dibernardoi",""
"Colubridae","Leptophis diplotropis","venomous bite – potentially dangerous"
"Colubridae","Leptophis liocercus",""
"Colubridae","Leptophis marginatus",""
"Colubridae","Leptophis mexicanus","unclear toxicity"
"Colubridae","Leptophis modestus","unclear toxicity"
"Colubridae","Leptophis nebulosus","unclear toxicity"
"Colubridae","Leptophis nigromarginatus",""
"Colubridae","Leptophis occidentalis",""
"Colubridae","Leptophis praestans",""
"Colubridae","Leptophis riveti","unclear toxicity"
"Colubridae","Leptophis stimsoni","unclear toxicity"
"Colubridae","Leptophis urostictus",""
"Leptotyphlopidae","Leptotyphlops aethiopicus","non-venomous"
"Leptotyphlopidae","Leptotyphlops conjunctus","non-venomous"
"Leptotyphlopidae","Leptotyphlops distanti","non-venomous"
"Leptotyphlopidae","Leptotyphlops emini","non-venomous"
"Leptotyphlopidae","Leptotyphlops howelli","non-venomous"
"Leptotyphlopidae","Leptotyphlops incognitus","non-venomous"
"Leptotyphlopidae","Leptotyphlops jacobseni","non-venomous"
"Leptotyphlopidae","Leptotyphlops kafubi","non-venomous"
"Leptotyphlopidae","Leptotyphlops keniensis","non-venomous"
"Leptotyphlopidae","Leptotyphlops latirostris","non-venomous"
"Leptotyphlopidae","Leptotyphlops macrops","non-venomous"
"Leptotyphlopidae","Leptotyphlops mbanjensis","non-venomous"
"Leptotyphlopidae","Leptotyphlops merkeri","non-venomous"
"Leptotyphlopidae","Leptotyphlops nigricans","non-venomous"
"Leptotyphlopidae","Leptotyphlops nigroterminus","non-venomous"
"Leptotyphlopidae","Leptotyphlops pembae","non-venomous"
"Leptotyphlopidae","Leptotyphlops pitmani","non-venomous"
"Leptotyphlopidae","Leptotyphlops pungwensis","non-venomous"
"Leptotyphlopidae","Leptotyphlops scutifrons","non-venomous"
"Leptotyphlopidae","Leptotyphlops sylvicolus","non-venomous"
"Leptotyphlopidae","Leptotyphlops telloi","non-venomous"
"Typhlopidae","Letheobia acutirostrata","non-venomous"
"Typhlopidae","Letheobia akagerae","non-venomous"
"Typhlopidae","Letheobia angeli","non-venomous"
"Typhlopidae","Letheobia caeca","non-venomous"
"Typhlopidae","Letheobia coecatus","non-venomous"
"Typhlopidae","Letheobia crossii","non-venomous"
"Typhlopidae","Letheobia debilis","non-venomous"
"Typhlopidae","Letheobia decorosus","non-venomous"
"Typhlopidae","Letheobia episcopus","non-venomous"
"Typhlopidae","Letheobia erythraea","non-venomous"
"Typhlopidae","Letheobia feae","non-venomous"
"Typhlopidae","Letheobia gracilis","non-venomous"
"Typhlopidae","Letheobia graueri","non-venomous"
"Typhlopidae","Letheobia jubana","non-venomous"
"Typhlopidae","Letheobia kibarae","non-venomous"
"Typhlopidae","Letheobia largeni","non-venomous"
"Typhlopidae","Letheobia leucosticta","non-venomous"
"Typhlopidae","Letheobia lumbriciformis","non-venomous"
"Typhlopidae","Letheobia manni","non-venomous"
"Typhlopidae","Letheobia mbeerensis","non-venomous"
"Typhlopidae","Letheobia newtoni","non-venomous"
"Typhlopidae","Letheobia pallida","non-venomous"
"Typhlopidae","Letheobia pauwelsi","non-venomous"
"Typhlopidae","Letheobia pembana","non-venomous"
"Typhlopidae","Letheobia praeocularis","non-venomous"
"Typhlopidae","Letheobia rufescens","non-venomous"
"Typhlopidae","Letheobia simoni","non-venomous"
"Typhlopidae","Letheobia somalica","non-venomous"
"Typhlopidae","Letheobia stejnegeri","non-venomous"
"Typhlopidae","Letheobia sudanensis","non-venomous"
"Typhlopidae","Letheobia swahilica","non-venomous"
"Typhlopidae","Letheobia toritensis","non-venomous"
"Typhlopidae","Letheobia uluguruensis","non-venomous"
"Typhlopidae","Letheobia weidholzi",""
"Typhlopidae","Letheobia wittei","non-venomous"
"Typhlopidae","Letheobia zenkeri","non-venomous"
"Cyclocoridae","Levitonius mirus",""
"Pythonidae","Liasis fuscus","non-venomous constrictor – dangerous"
"Pythonidae","Liasis mackloti","non-venomous constrictor – dangerous"
"Pythonidae","Liasis olivaceus","non-venomous constrictor – dangerous"
"Boidae","Lichanura orcutti",""
"Boidae","Lichanura trivirgata",""
"Lamprophiidae","Limaformosa capensis","non-venomous"
"Lamprophiidae","Limaformosa chanleri","unclear toxicity"
"Lamprophiidae","Limaformosa crossi","unclear toxicity"
"Lamprophiidae","Limaformosa guirali","unclear toxicity"
"Lamprophiidae","Limaformosa savorgnani","unclear toxicity"
"Lamprophiidae","Limaformosa vernayi","unclear toxicity"
"Colubridae","Limnophis bangweolicus","unclear toxicity"
"Colubridae","Limnophis bicolor","unclear toxicity"
"Colubridae","Limnophis branchi",""
"Colubridae","Liodytes alleni","unclear toxicity"
"Colubridae","Liodytes rigida","unclear toxicity"
"Colubridae","Lioheterophis iheringi","unclear toxicity"
"Colubridae","Liopeltis calamaria","unclear toxicity"
"Colubridae","Liopeltis frenata","unclear toxicity"
"Colubridae","Liopeltis pallidonuchalis",""
"Colubridae","Liopeltis philippina","unclear toxicity"
"Colubridae","Liopeltis rappi","unclear toxicity"
"Colubridae","Liopeltis stoliczkae","unclear toxicity"
"Colubridae","Liopeltis tiomanica",""
"Colubridae","Liopeltis tricolor","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium apperti","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium chabaudi","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium maintikibo","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium mayottensis","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium pattoni","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium rhodogaster","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium therezieni","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium torquatum","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium trilineatum","unclear toxicity"
"Pseudoxyrhophiidae","Liophidium vaillanti","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis baderi","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis dimorphus","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis dolicocercus","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis grandidieri","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis oligolepis","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis rhadinaea","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis sexlineatus","unclear toxicity"
"Pseudoxyrhophiidae","Liopholidophis varius","unclear toxicity"
"Anomalepididae","Liotyphlops albirostris","non-venomous"
"Anomalepididae","Liotyphlops anops","non-venomous"
"Anomalepididae","Liotyphlops argaleus","non-venomous"
"Anomalepididae","Liotyphlops bondensis",""
"Anomalepididae","Liotyphlops caissara","non-venomous"
"Anomalepididae","Liotyphlops haadi","non-venomous"
"Anomalepididae","Liotyphlops palauophis",""
"Anomalepididae","Liotyphlops schubarti","non-venomous"
"Anomalepididae","Liotyphlops taylori",""
"Anomalepididae","Liotyphlops ternetzii","non-venomous"
"Anomalepididae","Liotyphlops trefauti","non-venomous"
"Anomalepididae","Liotyphlops wilderi","non-venomous"
"Elapidae","Loveridgelaps elapoides","venomous bite – very dangerous"
"Loxocemidae","Loxocemus bicolor","non-venomous"
"Colubridae","Lycodon albofuscus","unclear toxicity"
"Colubridae","Lycodon alcalai","unclear toxicity"
"Colubridae","Lycodon anakradaya",""
"Colubridae","Lycodon aulicus","unclear toxicity"
"Colubridae","Lycodon banksi",""
"Colubridae","Lycodon bibonius","unclear toxicity"
"Colubridae","Lycodon bicolor",""
"Colubridae","Lycodon butleri","unclear toxicity"
"Colubridae","Lycodon capucinus","unclear toxicity"
"Colubridae","Lycodon cardamomensis","unclear toxicity"
"Colubridae","Lycodon carinatus","unclear toxicity"
"Colubridae","Lycodon cathaya",""
"Colubridae","Lycodon cavernicolus","unclear toxicity"
"Colubridae","Lycodon chapaensis",""
"Colubridae","Lycodon chithrasekarai",""
"Colubridae","Lycodon chrysoprateros","unclear toxicity"
"Colubridae","Lycodon davidi","unclear toxicity"
"Colubridae","Lycodon davisonii","unclear toxicity"
"Colubridae","Lycodon deccanensis",""
"Colubridae","Lycodon dumerilii","unclear toxicity"
"Colubridae","Lycodon effraenis","unclear toxicity"
"Colubridae","Lycodon fasciatus",""
"Colubridae","Lycodon fasciolatus","unclear toxicity"
"Colubridae","Lycodon fausti","unclear toxicity"
"Colubridae","Lycodon ferroni","unclear toxicity"
"Colubridae","Lycodon flavicollis","unclear toxicity"
"Colubridae","Lycodon flavomaculatus","unclear toxicity"
"Colubridae","Lycodon flavozonatus","unclear toxicity"
"Colubridae","Lycodon futsingensis","unclear toxicity"
"Colubridae","Lycodon gammiei","unclear toxicity"
"Colubridae","Lycodon gibsonae",""
"Colubridae","Lycodon gongshan","unclear toxicity"
"Colubridae","Lycodon gracilis","unclear toxicity"
"Colubridae","Lycodon hypsirhinoides","unclear toxicity"
"Colubridae","Lycodon jara","unclear toxicity"
"Colubridae","Lycodon kundui","unclear toxicity"
"Colubridae","Lycodon laoensis","unclear toxicity"
"Colubridae","Lycodon liuchengchaoi","unclear toxicity"
"Colubridae","Lycodon maculatus",""
"Colubridae","Lycodon meridionalis","unclear toxicity"
"Colubridae","Lycodon muelleri","unclear toxicity"
"Colubridae","Lycodon multifasciatus","unclear toxicity"
"Colubridae","Lycodon multizonatus","unclear toxicity"
"Colubridae","Lycodon nympha","unclear toxicity"
"Colubridae","Lycodon obvelatus",""
"Colubridae","Lycodon ophiophagus","unclear toxicity"
"Colubridae","Lycodon orientalis","unclear toxicity"
"Colubridae","Lycodon paucifasciatus","unclear toxicity"
"Colubridae","Lycodon philippinus","unclear toxicity"
"Colubridae","Lycodon pictus",""
"Colubridae","Lycodon rosozonatus","unclear toxicity"
"Colubridae","Lycodon rufozonatus","unclear toxicity"
"Colubridae","Lycodon ruhstrati","unclear toxicity"
"Colubridae","Lycodon sealei",""
"Colubridae","Lycodon semicarinatus","unclear toxicity"
"Colubridae","Lycodon septentrionalis","unclear toxicity"
"Colubridae","Lycodon serratus",""
"Colubridae","Lycodon sidiki","unclear toxicity"
"Colubridae","Lycodon solivagus","unclear toxicity"
"Colubridae","Lycodon stormi","unclear toxicity"
"Colubridae","Lycodon striatus","unclear toxicity"
"Colubridae","Lycodon subannulatus","unclear toxicity"
"Colubridae","Lycodon subcinctus","unclear toxicity"
"Colubridae","Lycodon synaptor","unclear toxicity"
"Colubridae","Lycodon tessellatus","unclear toxicity"
"Colubridae","Lycodon tiwarii","unclear toxicity"
"Colubridae","Lycodon travancoricus","unclear toxicity"
"Colubridae","Lycodon tristrigatus","unclear toxicity"
"Colubridae","Lycodon truongi",""
"Colubridae","Lycodon zawi","unclear toxicity"
"Colubridae","Lycodon zayuensis",""
"Colubridae","Lycodon zoosvictoriae","unclear toxicity"
"Lamprophiidae","Lycodonomorphus bicolor","unclear toxicity"
"Lamprophiidae","Lycodonomorphus inornatus","unclear toxicity"
"Lamprophiidae","Lycodonomorphus laevissimus","unclear toxicity"
"Lamprophiidae","Lycodonomorphus leleupi","unclear toxicity"
"Lamprophiidae","Lycodonomorphus mlanjensis","unclear toxicity"
"Lamprophiidae","Lycodonomorphus obscuriventris","unclear toxicity"
"Lamprophiidae","Lycodonomorphus rufulus","non-venomous"
"Lamprophiidae","Lycodonomorphus subtaeniatus","unclear toxicity"
"Lamprophiidae","Lycodonomorphus whytii","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas citrinus","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas cococola","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas gaimardi","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas granuliceps","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas guentheri","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas inopinae","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas inornatus","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas maculatus","unclear toxicity"
"Pseudoxyrhophiidae","Lycodryas pseudogranuliceps","unclear toxicity"
"Colubridae","Lycognathophis seychellensis","unclear toxicity"
"Lamprophiidae","Lycophidion acutirostre","unclear toxicity"
"Lamprophiidae","Lycophidion albomaculatum","unclear toxicity"
"Lamprophiidae","Lycophidion capense","non-venomous"
"Lamprophiidae","Lycophidion chirioi",""
"Lamprophiidae","Lycophidion depressirostre","unclear toxicity"
"Lamprophiidae","Lycophidion hellmichi","unclear toxicity"
"Lamprophiidae","Lycophidion irroratum","unclear toxicity"
"Lamprophiidae","Lycophidion jacksoni",""
"Lamprophiidae","Lycophidion laterale","unclear toxicity"
"Lamprophiidae","Lycophidion meleagre","unclear toxicity"
"Lamprophiidae","Lycophidion multimaculatum","unclear toxicity"
"Lamprophiidae","Lycophidion namibianum","unclear toxicity"
"Lamprophiidae","Lycophidion nanum","unclear toxicity"
"Lamprophiidae","Lycophidion nigromaculatum","unclear toxicity"
"Lamprophiidae","Lycophidion ornatum","unclear toxicity"
"Lamprophiidae","Lycophidion pembanum","unclear toxicity"
"Lamprophiidae","Lycophidion pygmaeum","unclear toxicity"
"Lamprophiidae","Lycophidion semiannule","unclear toxicity"
"Lamprophiidae","Lycophidion semicinctum","unclear toxicity"
"Lamprophiidae","Lycophidion taylori","unclear toxicity"
"Lamprophiidae","Lycophidion tchadensis",""
"Lamprophiidae","Lycophidion uzungwense","unclear toxicity"
"Lamprophiidae","Lycophidion variegatum","unclear toxicity"
"Colubridae","Lygophis anomalus","unclear toxicity"
"Colubridae","Lygophis dilepis","unclear toxicity"
"Colubridae","Lygophis elegantissimus","unclear toxicity"
"Colubridae","Lygophis flavifrenatus","unclear toxicity"
"Colubridae","Lygophis lineatus","unclear toxicity"
"Colubridae","Lygophis meridionalis","unclear toxicity"
"Colubridae","Lygophis paucidens","unclear toxicity"
"Colubridae","Lygophis vanzolinii","unclear toxicity"
"Colubridae","Lytorhynchus diadema","unclear toxicity"
"Colubridae","Lytorhynchus gaddi",""
"Colubridae","Lytorhynchus gasperetti","unclear toxicity"
"Colubridae","Lytorhynchus kennedyi","unclear toxicity"
"Colubridae","Lytorhynchus maynardi","unclear toxicity"
"Colubridae","Lytorhynchus paradoxus","unclear toxicity"
"Colubridae","Lytorhynchus ridgewayi","unclear toxicity"
"Atractaspididae","Macrelaps microlepidotus","venomous bite – potentially dangerous"
"Colubridae","Macrocalamus chanardi","unclear toxicity"
"Colubridae","Macrocalamus emas",""
"Colubridae","Macrocalamus gentingensis","unclear toxicity"
"Colubridae","Macrocalamus jasoni","unclear toxicity"
"Colubridae","Macrocalamus lateralis","unclear toxicity"
"Colubridae","Macrocalamus schulzi","unclear toxicity"
"Colubridae","Macrocalamus tweediei","unclear toxicity"
"Colubridae","Macrocalamus vogeli","unclear toxicity"
"Colubridae","Macroprotodon abubakeri","unclear toxicity"
"Colubridae","Macroprotodon brevis","unclear toxicity"
"Colubridae","Macroprotodon cucullatus","venomous bite – potentially dangerous"
"Colubridae","Macroprotodon mauritanicus","unclear toxicity"
"Viperidae","Macrovipera lebetinus","venomous bite – very dangerous"
"Viperidae","Macrovipera razii",""
"Pseudoxyrhophiidae","Madagascarophis colubrinus","venomous bite – potentially dangerous"
"Pseudoxyrhophiidae","Madagascarophis fuchsi","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Madagascarophis lolo","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Madagascarophis meridionalis","venomous bite – unknown dangerousness"
"Pseudoxyrhophiidae","Madagascarophis ocellatus","venomous bite – unknown dangerousness"
"Typhlopidae","Madatyphlops albanalis","non-venomous"
"Typhlopidae","Madatyphlops andasibensis","non-venomous"
"Typhlopidae","Madatyphlops arenarius","non-venomous"
"Typhlopidae","Madatyphlops boettgeri","non-venomous"
"Typhlopidae","Madatyphlops cariei","non-venomous"
"Typhlopidae","Madatyphlops comorensis","non-venomous"
"Typhlopidae","Madatyphlops decorsei","non-venomous"
"Typhlopidae","Madatyphlops domerguei","non-venomous"
"Typhlopidae","Madatyphlops eudelini",""
"Typhlopidae","Madatyphlops madagascariensis","non-venomous"
"Typhlopidae","Madatyphlops microcephalus","non-venomous"
"Typhlopidae","Madatyphlops mucronatus","non-venomous"
"Typhlopidae","Madatyphlops ocularis","non-venomous"
"Typhlopidae","Madatyphlops rajeryi","non-venomous"
"Typhlopidae","Madatyphlops reuteri","non-venomous"
"Colubridae","Magliophis exiguus","unclear toxicity"
"Colubridae","Magliophis stahli","unclear toxicity"
"Pythonidae","Malayopython reticulatus","non-venomous constrictor – extremely dangerous"
"Pythonidae","Malayopython timoriensis","non-venomous constrictor – potentially dangerous"
"Typhlopidae","Malayotyphlops andyi","non-venomous"
"Typhlopidae","Malayotyphlops canlaonensis","non-venomous"
"Typhlopidae","Malayotyphlops castanotus","non-venomous"
"Typhlopidae","Malayotyphlops collaris","non-venomous"
"Typhlopidae","Malayotyphlops denrorum","non-venomous"
"Typhlopidae","Malayotyphlops hypogius","non-venomous"
"Typhlopidae","Malayotyphlops koekkoeki","non-venomous"
"Typhlopidae","Malayotyphlops kraalii","non-venomous"
"Typhlopidae","Malayotyphlops luzonensis","non-venomous"
"Typhlopidae","Malayotyphlops manilae","non-venomous"
"Typhlopidae","Malayotyphlops ruber","non-venomous"
"Typhlopidae","Malayotyphlops ruficauda","non-venomous"
"Psammophiidae","Malpolon insignitus","venomous bite – potentially dangerous"
"Psammophiidae","Malpolon moilensis","venomous bite – unknown dangerousness"
"Psammophiidae","Malpolon monspessulanus","venomous bite – potentially dangerous"
"Colubridae","Manolepis putnami","unclear toxicity"
